item_idx,n_desc,bleu_mean,bleu_min,bleu_max,bleu_std
5146,5,0.006151959821920776,0.0,0.0137098614488229,0.005205855776018672
5147,5,0.009871498055119507,0.0,0.02872495348091206,0.009477034719141323
5148,5,0.015063464810968263,0.007764220917386244,0.02564567445490864,0.004786680449224616
5149,5,0.011150656776163819,0.007025357607948558,0.01428363257865929,0.002316521443458348
5150,5,0.011766331749891765,0.007594611092001413,0.017212239801819764,0.0027061922464937673
5151,5,0.009454951658943654,0.0,0.01710885360491025,0.005625436513253327
5152,5,0.025867615554805535,0.010856782661590052,0.05880962777751932,0.017747483439809565
5153,5,0.019801166385509907,0.0,0.09189798020039786,0.026563829610474696
5154,5,0.005707987101702177,0.0,0.013217947626377298,0.004999274069924292
5155,5,0.014033507609893322,0.005279347789155559,0.04028998029112094,0.00972116378091268
5156,5,0.02900579509243669,0.007025357607948558,0.16923267918690046,0.04620693087826202
5157,5,0.011813258705401073,0.0,0.027172641739175114,0.0076074818156645916
5158,5,0.015118729411641028,0.011863340284736726,0.025405213326725105,0.00395746961186269
5159,5,0.020072554753112194,0.009420540016947072,0.04228416809346117,0.008590349698971189
5160,4,0.036044151189997264,0.0031669302451272662,0.16617429299578945,0.0602101378191217
5161,5,0.012419638414964735,0.005751876324997854,0.023050898626566643,0.004638159291066631
5162,5,0.018644704508323885,0.01033114956441737,0.03246497173403303,0.008392594439426039
5163,5,0.013378226793233907,0.006759491079538389,0.023865989262688563,0.005832518153045449
5164,5,0.010706677563467543,0.0,0.018690183721524995,0.005310086850023809
5165,5,0.018022377042658373,0.009471073335823832,0.032709344708772174,0.006429425983594767
5166,5,0.010632847915552125,0.0,0.019381774561096757,0.006231338830211593
5167,5,0.011023177561710413,0.0,0.028927969316143217,0.008640851789701707
5168,5,0.015158608252076378,0.0,0.06733493544110147,0.018185612663076143
5169,5,0.025222174822069655,0.007791607929770079,0.0427772644500899,0.013453958179768282
5170,5,0.00845991433283836,0.0,0.02054901307230194,0.007531231138811238
5171,5,0.010545120232707686,0.0,0.021105340631872645,0.006833117792997183
5172,5,0.008024362719884374,0.0,0.017448767890681335,0.0056500376929880785
5173,5,0.02072860372764351,0.015718877363021206,0.039073802494525016,0.007636368425477084
5174,5,0.020349559743266254,0.008580791159409903,0.04520838194719227,0.011267463874658766
5175,5,0.012916941633974688,0.0015734712276427119,0.051366639095059535,0.013489603021658912
5176,5,0.01165268735115187,0.0017442889194788614,0.036362270465000714,0.009764905248577208
5177,5,0.012021794307193906,0.0,0.027952555963587523,0.008099380774508247
5178,5,0.027013337424904478,0.015223083300988084,0.07779637090949697,0.018675245711540042
5179,5,0.025370050164517176,0.0048614374721864,0.11018801516411252,0.029206564559166207
5180,5,0.016096120542681062,0.0,0.03104578053097407,0.0072086084083382174
5181,5,0.009655008592761569,0.0004159513029082128,0.022710171642664416,0.006474291629351148
5182,5,0.013981655670152207,0.0,0.06357877332311639,0.01801323785256824
5183,5,0.009833424583490093,0.0,0.017209538164201187,0.006163764906606506
5184,5,0.012729980549010856,0.0,0.026012784404037925,0.009782429314261439
5185,5,0.009501897844273879,0.0016151436493444867,0.017502413882486995,0.005149325788676353
5186,5,0.03695524249948019,0.006189243797885522,0.20105373454060027,0.05529395459312525
5187,5,0.0177451471830598,0.0,0.033751605694744835,0.011371136327075121
5188,5,0.013051432871608842,0.002034384122231266,0.030002843173508643,0.008679969121158147
5189,4,0.008052386217762544,0.0,0.014672606369868058,0.005065739497226951
5190,5,0.011542979712745304,0.004709238035176906,0.024178614976744797,0.005737658241456479
5191,5,0.010614647679460737,0.005067324235626041,0.019320990745681776,0.0035706691854538336
5192,5,0.009169710187060125,9.865292993850407e-05,0.02556795749489219,0.006718334302366845
5193,5,0.015271767920777399,0.005751876324997854,0.0365418868430952,0.008425884506361808
5194,5,0.011061484548726812,0.0025723724169625702,0.027166383723579154,0.007239819537112848
5195,5,0.013276262324909771,0.008568160738285336,0.02297185935845028,0.004982750631862086
5196,5,0.014867878952565855,0.009233266757408676,0.025281168697394947,0.005095240632688824
5197,5,0.017136185850732098,0.003751497361301844,0.06237795548865081,0.016003606836987795
5198,5,0.013370386386969616,0.0067605605231841675,0.03592143420342892,0.008090340868892805
5199,5,0.014908274439731084,0.008099349011360245,0.030934588294313718,0.006296715089831886
5200,5,0.015772088112401713,0.0020533686013298118,0.07072779723766472,0.01917730981717916
5201,5,0.017295489607768996,0.006307779352415969,0.057554280238638234,0.014199026687290985
5202,5,0.009608887104136318,0.005600259377673811,0.012713758475737951,0.001906166301369081
5203,5,0.01679842725505598,0.0004976252482016074,0.039530883746698414,0.01198951576408128
5204,5,0.012181020891896151,0.005204512922773221,0.022023814946586635,0.0040868243199035864
5205,5,0.00956182281567183,0.0010084861611910011,0.017033186037639283,0.005449430794751214
5206,5,0.035666801967032646,0.005803437161904481,0.05949757664833034,0.019297839801381476
5207,5,0.009596367403023063,0.0010018319035630435,0.015138514598766055,0.005312613485997611
5208,5,0.02505892787016431,0.008771637178592478,0.10013330876305751,0.027202532506486642
5209,5,0.011169998067025328,0.0,0.022835060540062107,0.005742886668113536
5210,5,0.009992360427024642,0.0,0.030206205252435548,0.008687651677616197
5211,5,0.01801425664699797,0.004505036307545579,0.037061986319706204,0.009280789583255115
5212,5,0.01008079965942866,0.0,0.03678208851801446,0.012279513286136273
5213,5,0.014654606580235352,0.008580791159409903,0.023830412565256146,0.0050484031476172924
5214,5,0.03613726997819716,0.009204697160800423,0.24515235346013312,0.06921409359555065
5215,5,0.014453035195825234,0.006061585804009634,0.05085570764977474,0.01288178541287159
5216,5,0.012997749770007134,0.0,0.02568834612294236,0.006809774429825945
5217,5,0.02999643994743876,0.0,0.1566384057330969,0.04259642213013152
5218,5,0.014066752694015866,0.001283417085550733,0.0508572540034869,0.012867468374169438
5219,5,0.08240226207634009,0.012300686288463768,0.22622583725445722,0.07486158378598626
5220,5,0.010581031878463655,0.0,0.01633647013102316,0.004433315891399514
5221,5,0.01162008841006087,0.0,0.03864198149136354,0.009609201130852889
5222,5,0.051420688747036015,0.009483240843460443,0.2808691883279909,0.07907723259067363
5223,5,0.013381008582619685,0.0,0.048853266442119264,0.012981895605310684
5224,3,0.01926386624264466,0.007696339439306161,0.04276438225788649,0.016721186069003174
5225,5,0.01790883826734365,0.0,0.040282619279694225,0.011306425437164067
5226,4,0.013218633823778268,0.0,0.01727959142950042,0.0064605826716456006
5227,5,0.01313709699509972,0.0,0.030934588294313718,0.009635754207226692
5228,5,0.01641695316273375,0.0,0.05993031480537873,0.017524055202851215
5229,5,0.009988877774005306,0.0,0.021955010203125076,0.005944963555943391
5230,5,0.018676410099005954,0.010357133264069248,0.06047796937561043,0.013260757773544346
5231,5,0.018990123836124268,0.007559559445663099,0.05415315253510895,0.01313000010457177
5232,5,0.014034687955343943,0.0002633499204155645,0.04328649145305472,0.013062554651811307
5233,4,0.0481007059477512,0.01248064683264796,0.20577107905082873,0.07354229766341813
5234,5,0.03528624907747357,0.0,0.16188613565728213,0.044161249331432895
5235,5,0.01853671597537153,0.009858594728796832,0.033360862268577436,0.007013797715531039
5236,5,0.01488981333293963,0.004364278994375607,0.02704370881392503,0.007740271343312354
5237,5,0.03154699719104944,0.007816435614790406,0.11856660123276004,0.03173061131429777
5238,5,0.011109279142409908,0.0,0.021847844937497602,0.00722087004911192
5239,4,0.0351899269947329,0.01340082578177889,0.06893242126402908,0.022639665506838817
5240,5,0.017513697164859017,0.007764220917386244,0.03824557978152159,0.008849180286270839
5241,5,0.01595641209717942,0.005120591980338956,0.02817173810403087,0.00803772364523091
5242,5,0.02009041863439432,0.0,0.06585201949844262,0.017951322893647217
5243,5,0.012044742091606076,0.0,0.026572519415998235,0.007421120684801455
5244,5,0.012138889525806901,0.0,0.024309548251524583,0.00584620748414385
5245,4,0.010046257861460265,0.001545797654394307,0.018636406807066564,0.00652498297413954
5246,5,0.022267561102026063,0.01428363257865929,0.03367004718165569,0.007993786655190004
5247,5,0.012988046822735291,0.007208480966327749,0.028648744177277325,0.006107858407227592
5248,5,0.014303538717615796,0.0,0.03446151880350207,0.00819047170686886
5249,5,0.010717985601824508,0.0023096346698519934,0.0204689180374571,0.005033352897921033
5250,5,0.03766161678867559,0.011502783619900045,0.211525450795607,0.05970392931238773
5251,5,0.016142793055661464,0.0,0.031177153206263575,0.008220879014926087
5252,5,0.007399145406082673,0.0,0.01618861356572822,0.006166798171165078
5253,5,0.014486241358979437,0.0,0.02878787818101127,0.008369035823480135
5254,5,0.020614138650964654,0.012251984172022112,0.032195554434125126,0.007196909410743094
5255,4,0.0398841308038344,0.018320989599174945,0.06893242126402908,0.020622271099121414
5256,5,0.0104071783282209,0.0,0.021105340631872645,0.0081396165946658
5257,5,0.011195530483180564,0.0006407360853823936,0.024218026052883736,0.008867266927102782
5258,5,0.01130228874411581,0.0,0.031139497438282805,0.009297346609233382
5259,5,0.022322576870976593,0.0,0.05121488961114836,0.01515261560787258
5260,5,0.0353217263898605,0.012300686288463768,0.06941681530093603,0.01709779366745678
5261,5,0.01531795681202897,0.0,0.03595290285752276,0.009760507065123969
5262,5,0.024080186348249422,0.00573266357227443,0.0931452893037083,0.02582587543283765
5263,5,0.012519569400732792,0.0,0.025281168697394947,0.006512385617643935
5264,5,0.018227705156324846,0.007816435614790406,0.03511476270817333,0.008042733619695635
5265,5,0.008399247856781464,0.0016517415690703893,0.01643434939684039,0.004374487798019115
5266,5,0.03494001558092794,0.006339552160435529,0.17945943107741746,0.05130489945551172
5267,5,0.013637365563399364,0.009108946940221201,0.022416933501922302,0.004218941852296604
5268,5,0.01989893644844066,0.005339419946462468,0.04668049023095243,0.013314137511884684
5269,5,0.019971500796227247,0.005581634556123192,0.039292384191895235,0.009807725408157246
5270,5,0.02055986773453817,0.0013811207587475145,0.05112172042492227,0.015703040601790827
5271,5,0.018432575343131058,0.009483240843460443,0.03233772636796773,0.0076849209327382656
5272,5,0.03211349859222033,0.009975840318370089,0.09018015286108234,0.026897311624597943
5273,5,0.017797248954042694,0.0,0.07651311935534327,0.021289337407411756
5274,5,0.013752821274415853,0.0,0.027076576267554473,0.007009847875558791
5275,5,0.011598646893375367,0.0021159970481274596,0.02878787818101127,0.006934304696820916
5276,5,0.013966773298633679,0.008045907370796052,0.024358554985340126,0.005007800296083795
5277,5,0.014630444391650482,0.0,0.030934588294313718,0.007266870330914668
5278,5,0.009634190386041522,0.0,0.015703799285850036,0.004074384598072068
